ID,Title,"Tax Status"
9747,"Diamond Eternity Band 2.2mm",taxable
9748,"Diamond Eternity Band 2.2mm",taxable
9749,"Diamond Eternity Band 2.2mm",taxable
9750,"Diamond Eternity Band 2.8mm",none
9753,"Diamond Eternity Band 3.2mm",none
9754,"Diamond Eternity Band 3.8mm",none
9757,"Driftwood Diamond Band",none
9758,"Milgrained Bezel Diamond Eternity Band",none
9760,"Oceans Band",none
9763,"Twig Scattered Diamond Band",none
9765,"Space and Time Parallel Eternity Band",taxable
9766,"Space and Time Parallel Eternity Band",taxable
9767,"Space and Time Parallel Eternity Band",taxable
9768,"Space and Time Parallel Eternity Band",taxable
9769,"Space and Time Parallel Eternity Band",taxable
9770,"Space and Time Single Full Eternity Band",none
9772,"Space and Time Single Half Eternity Band",none
9776,"Twig Pave Diamond Band",none
9777,"Wheat Burnished Diamond Band",none
9779,"Wheat Pave Diamond Band",taxable
9783,"Australis Crown Band",none
9881,"Borealis Crown Band",none
9882,"Deep Chevron Diamond Band",none
9883,"Chevron Knife Edge Band",none
9885,"Classic Band 3mm",taxable
9886,"Classic Band 4mm",taxable
9887,"Classic Band 5mm",taxable
9888,"Classic Band 6mm",taxable
9892,"Comet Tail Band",none
9893,"Classic Scroll Hand Engraved Band 2mm",taxable
9895,"Classic Scroll Hand Engraved Band 4mm",taxable
9896,"Cressida Band",none
9897,"Daisy Band",taxable
9898,"Daisy Band",taxable
9899,"Daisy Band",taxable
9900,"Daisy Band",taxable
9901,"Daisy Band",taxable
9902,"Daisy Band",taxable
9903,"Diadem Band",none
9905,"Moon Band",taxable
9906,"Moon Band",taxable
9907,"Moon Band",taxable
9908,"Moon Band",taxable
9909,"Moon Band",taxable
9910,"Moon Band",taxable
9911,"Neptune Band",none
9930,"Orion Band",taxable
9931,"Orion Band",taxable
9932,"Orion Band",taxable
9933,"Orion Band",taxable
9934,"Orion Band",taxable
9935,"Orion Band",taxable
9938,"Standard Band 1.5mm",taxable
9939,"Standard Band 2mm",taxable
9940,"Standard 3-Sided Leaf Hand Engraved Band 2mm",taxable
9947,"Standard Band 4mm",taxable
9948,"Standard with Diamonds Band 4mm",taxable
9949,"Standard Band 5mm",taxable
9950,"Standard with Diamonds Band 5mm",taxable
9951,"Standard Band 6mm",taxable
9952,"Standard Hammered Band 1.5mm",taxable
9953,"Standard Hammered Band 2mm",taxable
9956,"Standard Hammered Band 5mm",taxable
9957,"Standard Hammered Band 6mm",taxable
9959,"Standard Hammered Rustic Band 6mm",taxable
9960,"Standard Hammered Rustic Band 5mm",taxable
9963,"Sunshine Band",taxable
9964,"Sunshine Band",taxable
9965,"Sunshine Band",taxable
9966,"Sunshine Band",taxable
9967,"Sunshine Band",taxable
9968,"Sunshine Band",taxable
9970,"Triton Band",taxable
9971,"Triton Band",taxable
9972,"Triton Band",taxable
9973,"Triton Band",taxable
9974,"Twist Band",taxable
9975,"Twist Band",taxable
9976,"Twist Band",taxable
9977,"Twist Band",taxable
9978,"Twist Band",taxable
9979,"Twist Band",taxable
9980,"Violet Band",taxable
9981,"Violet Band",taxable
9982,"Violet Band",taxable
9983,"Violet Band",taxable
9984,"Violet Band",taxable
9985,"Violet Band",taxable
9987,"Wheat Band 2mm",none
9989,"Wheat Band 3mm",taxable
9990,"Wheat Band 3mm",taxable
9991,"Wheat Band 3mm",taxable
9992,"Wheat Band 3mm",taxable
9993,"Wheat Band 3mm",taxable
9994,"Wheat Band 3mm",taxable
9996,"Wheat Band 4mm",taxable
9997,"Wheat Band 4mm",taxable
9998,"Wheat Band 4mm",taxable
9999,"Wheat Band 4mm",taxable
10000,"Wheat Band 4mm",taxable
10001,"Wheat Band 4mm",taxable
10003,"Wheat Band 5mm",none
10008,"Plumeria Band",taxable
10009,"Plumeria Band",taxable
10010,"Plumeria Band",taxable
10011,"Plumeria Band",taxable
10012,"Plumeria Band",taxable
10013,"Plumeria Band",taxable
10015,"Diamond in the Rough Ring",taxable
10017,"Linear Ring with Teal Sapphires",taxable
10018,"Linear Ring with Teal Sapphires",taxable
10019,"Linear Ring with Teal Sapphires",taxable
10020,"Linear Ring with Teal Sapphires",taxable
10022,"Turquoise Bubble Ring",taxable
10023,"Turquoise Bubble Ring",taxable
10024,"Turquoise Bubble Ring",taxable
10025,"Turquoise Bubble Ring",taxable
10035,"Claw Studs",taxable
10036,"Claw Studs",taxable
10037,"Claw Studs",taxable
10044,"Diamond in the Rough Ring",taxable
10045,"Diamond in the Rough Ring",taxable
10046,"Linear Ring with Teal Sapphires",taxable
10047,"Linear Ring with Teal Sapphires",taxable
10048,"Linear Ring with Teal Sapphires",taxable
10049,"Linear Ring with Teal Sapphires",taxable
10050,"Luna Diamond Ring",taxable
10051,"Luna Diamond Ring",taxable
10052,"Luna Diamond Ring",taxable
10053,"Luna Ring",taxable
10054,"Luna Ring",taxable
10055,"Ruby Crossover Ring",taxable
10056,"Ruby Crossover Ring",taxable
10057,"Ruby Crossover Ring",taxable
10058,"Sunset Ring",taxable
10059,"Sunset Ring",taxable
10060,"Sunset Diamond Ring",taxable
10061,"Sunset Diamond Ring",taxable
10062,"Sunset Diamond Ring",taxable
10063,"Turquoise Bubble Ring",taxable
10064,"Turquoise Bubble Ring",taxable
10065,"Turquoise Bubble Ring",taxable
10066,"Turquoise Bubble Ring",taxable
10067,".2ctw Diamond Martini Studs",taxable
10068,".2ctw Diamond Martini Studs",taxable
10069,".2ctw Diamond Martini Studs",taxable
10070,".3ctw Diamond Martini Studs",taxable
10071,".3ctw Diamond Martini Studs",taxable
10072,".3ctw Diamond Martini Studs",taxable
10073,"Teal Sapphire Martini Studs",taxable
10074,"Teal Sapphire Martini Studs",taxable
10075,"Teal Sapphire Martini Studs",taxable
10076,"Green Sapphire Martini Studs",taxable
10077,"Green Sapphire Martini Studs",taxable
10078,"Green Sapphire Martini Studs",taxable
10079,".5ctw Diamond Martini Studs",taxable
10080,".5ctw Diamond Martini Studs",taxable
10081,".5ctw Diamond Martini Studs",taxable
10082,"1.0ctw Lab Grown Diamond Martini Studs",taxable
10083,"1.0ctw Lab Grown Diamond Martini Studs",taxable
10084,"1.0ctw Lab Grown Diamond Martini Studs",taxable
10085,"2.0ctw Lab Grown Diamond Martini Studs",taxable
10086,"2.0ctw Lab Grown Diamond Martini Studs",taxable
10087,"2.0ctw Lab Grown Diamond Martini Studs",taxable
10088,"2.6ctw Lab Grown Diamond Martini Studs",taxable
